20 октября - 26 октября;;27 октября - 2 ноября;;3 ноября - 9 ноября;;10 ноября - 16 ноября;;17 ноября - 23 ноября;;24 ноября - 30 ноября;;1 декабря - 7 декабря;;8 декабря - 14 декабря;;15 декабря - 21 декабря;;22 декабря - 28 декабря;;29 декабря - 4 января ;;5 января - 11 января;;12 января - 18 января;;19 января - 25 января;;26 января - 1 февраля;;2 февраля - 8 февраля;;9 февраля - 15 февраля;;16 февраля - 22 февраля;;23 февраля - 1 марта;;2 марта - 8 марта;;9 марта - 16 марта;;16 марта - 22 марта;;23 марта - 29 марта;;30 марта - 5 апреля;;6 апреля - 12 апреля;;13 апреля - 19 апреля;;20 апреля - 26 апреля;;27 апреля - 3 мая;;4 мая - 10 мая;;11 мая - 17 мая;
ЛСП;SHINOBI;KSB music;Сатоши;KSB music;Uprising;KSB music;Дура;KSB music;Когда-Нибудь;KSB music;Tomorow Comes Today;ЛСП;Быть Орком;ЛСП;Дружить;Oxxxymiron;Dont Let Me Down;Oxxxymiron;It s Ben A Long Long Time - 58 ;Djo;Roddy - 52;Djo;A Wolf At The Door - 69;Drake;For The First Time - 90;Radiohead;Yeah You - 78;Pink Floyd;Brain Damage - 65;Pantera ;Cemetery Gates - 62;Taylor Swift;Wood - 73;Taylor Swift;Moonlight on the River - 68;Steve Lacy;Some - 72;Tyler, The Creator;Ginseng Strip 2002 - 656;Daft Punk;No Reply - 77;Daft Punk ;Short Circuit - 75;RHCP ;The Getaway - 111;Muse ;Madness - 98;Muse ;Налетела грусть - 88;Kanye West;Father Scretch My Hands Pt.1 - 84;Kanye West;Psycho - 133;The Beatles - 3;Rapp Snitvh Knishes - 59;Mac DeMarco;Wet Sand - 96;Mac DeMarco;Get Up And Jump - 54
KSB muzic;Порнозвезда;ЛСП;Wish You Were Here;Muse;ilomilo;Пацанский рэпчик до слез;На Урсе;RHCP;Моя Футболочка;ЛСП;Black Star;Хаски;Шиншиллы;Хаски;Ветром Снегом Зноем;ЛСП;C.R.E.A.M.;Richard Cheese;Get Lucky (Richard Cheese cover) - 53;Aphex Twin;Chateau - 43;Radiohead;Светлая полоса - 64;Mac DeMarco;God's Plan - 85;Drake;Staircase - 64;RHCP ;Eclipse - 57;Primus;One Step Closer - 59;Twenty One Pilots;The Fate of Ophelia - 62;Mac DeMarco;Пустой Вокзал - Acoustic Live - 64;SQWOZ BAB;Wake Up in the Sky - 68;Yung Lean;GONE, GONE/ THANK YOU - 57;The Beatles - 3;It Was A Good Day - 67;Korn ;Y'all Want a Single - 71;Steve Lacy;Uuuu - 93;EsDeeKid;4Raws - 83;The Beatles - 3;Sunburn - 86;Twenty One Pilots;EXIT - 80;Frank Ocean;In My Room - 124;Korn ;World Up! - 54;RHCP ;Freaking Out the Neighborhood - 89;RHCP ;The Salmon Dance - 47
OBLADAET;Канкан;Radiohead;Белочка;Billie Eilish;Johnny B. Goode;Aarne;Бас;Korn ;Руинеры;Gorillaz;Типичая вечеринка с бассейном;KSB music;Пауза;Richard Cheese;Creep (Richard Cheese Cover);Richard Cheese;Midwest Indigo;Radiohead;Magic Moments - 50;Radiohead;End Of Beginning - 43;Noize MC;I Talk To The Wind - 60;Davied Bowie;bitches broken hearts - 78;N.E.R.D;Hotline Bling - 59;Primus;Too Much To Ask - 47;Linkin Park;Too Many Puppits - 47;Jeff Buckley - 2;Wi$h List - 59;MORGENSHTERN;CANCELLED! - 48;Gucci Mane;КУПЕР - 68;Queen;Killer Queen - 55;Tyler, The Creator;Veridis Quo - 65;Dominic Fike;Face To Face - 59;XXXTENTACION;Everobody Dies In Their Nightmares - 90;R.E.M.;Losing My Religion - 76;Kanye West;Kiss Me More - 82;Tyler, The Creator;Runaway - 79;RHCP ;Porcelain- 121;Kanye West;In My Life - 51;Radiohead;Man of War - 72;С418;Blitzkrie Bop - 40
PHARAOH;Backyard Boy;Pink Floyd;Пиво;Pink Floyd;Пиво;Chuck Berry;Тинкер;The Beatles;Бас;Radiohead;Когда-нибудь;Пошлая Молли;Герой;Twenty One Pilots;Апатия;The Beatles;Creep (Richard Cheese Cover);Louis Armstrong;Knives Out - 47;EsDeeKid;LV Sandals - 35;King Crimson;Roddy - 47;Radiohead;"Heroes" - 73;Arctic Monkeys;Too Much To Ask - 51;Radiohead;A New Level - 45;Imagine Dragons;Tommy The Cat - 45;Pantera ;Lover, You Should've Never Come Over - 45;Kanye West;Flashing Lights - 46;Louis Armstrong;What A Wonderful World - 56;Twenty One Pilots;Courtship Dating - 40;Ice Cube;Last Train to London - 61;Queens of the Stone Age;Babydoll - 55;The Smiths;This Night Has Opened My Eyes - 84;Kylie Minogue;Can't Get You out of My Head;Александр Розенбаум;PUPPET - 78;The Beatles - 3;Where This Flower Blooms - 57;SOAD;I Wonder - 116;MF DOOM;Can't Tell Me Nothing - 47;Gracie Abrams;Risk - 57;Twenty One Pilots;Man of War - 32
Claire Rozinkranz;Кент;RHCP;Кент;Chuck Berry;Wish You Were Here;Billie Eilish;Руинеры;Deftones;На урсе;Хаски;Кино;Gorillaz;Я боюсь;Скриптонит;Дни Рождения;Twenty One Pilots;Freak On A Leash (Richard Cheese Cover);The Beatles;I've Got a Woman - 41;Snoop Dogg;Drop It Like It's Hot - 34;Davied Bowie;Ain't Shit - 39;Billie Eilish;A Wolf At The Door - 55;Jeff Buckley - 2;Dream Brother - 47;Arctic Monkeys;Tommy The Cat - 43;Radiohead;A New Level - 37;RHCP ;Actually Romantic - 39;Louis Armstrong;What A Wonderful World - 40;Twenty One Pilots;Flashing Lights - 49;Crystal Castles;ARE WE STILL FRIENDS - 25;Electric Light Orchestra;Harder, Better, Faster, Stronger - 54;The Beatles - 3;Veridis Quo - 48;Queens of the Stone Age;Go With The Flow - 83;Tyler, The Creator;Stargirl Interlude - 55;Tyler, The Creator;All My Loving - 75;Oxxxymiron - 2;All My Loving - 57;The Beatles - 3;Mean Mr. Mustard - 89;RHCP ;Rock with You - 45;Djo;Rapp Snitvh Knishes - 47;Radiohead;Вальс-бостон - 30
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Radiohead - 11;;Кент - 2;;;KSB music;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Beatles - 9;;Пиво - 2;;;ЛСП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RHCP - 9;;Wish You Were Here - 2;;;OBLADAET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KSB muzic - 7;;Руинеры - 2;;;PHARAOH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Twenty One Pilots - 7;;Бас - 2;;;Claire Rozinkranz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;                    ;;;;
ЛСП - 6;;Когда-нибудь - 2;;;Radiohead;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kanye West - 5;;Creep (Richard Cheese cover) - 2;;;Pink Floyd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tyler, The Creator - 4;;Roddy - 2;;;RHCP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mac DeMarco - 4;;A Wolf At The Door - 2;;;Пацанский рэпчик до слез;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Richard Cheese - 3;;Too Much To Ask - 2;;;Aarne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louis Armstrong - 3;;Tommy The Cat - 2;;;Chuck Berry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Хаски - 3;;A New Level - 2;;;Billie Eilish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muse - 3;;What A Wonderful - 2;;;Korn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oxxxymiron - 3;;Flashing Lights - 2;;;The Beatles;;;Radiohead - The Bends: 5 февраля;;;Taylor Swift - The Life of a Showgirl: 9 февраля;;;MORGENSHTERN - Dead Sea Live (Acoustic Live): 16 февраля;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pink Floyd - 3;;Veridis Quo - 2;;;Deftones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korn - 3;;All My Loving - 2;;;Gorillaz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Billie Eilish - 3;;Rapp Snitvh Knishes - 2;;;Хаски;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djo - 3;;Man of War - 2;;;Пошлая Молли;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pantera - 2;;;;;Richard Cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jeff Buckley - 2;;;;;Twenty One Pilots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gorillaz - 2;;;;;Скриптонит;;;Mac DeMarco - This Old Dog: 17 февраля;;;Tyler, The Creator - IGOR: 3 марта;;;Daft Punk - Discovery: 12 марта;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arctic Monkeys - 2;;;;;Oxxxymiron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chuck Berry - 2;;;;;Louis Armstrong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taylor Swift - 2;;;;;Djo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daft Punk - 2;;;;;Aphex Twin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drake - 2;;;;;EsDeeKid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Queens of the Stone Age - 2;;;;;Snoop Dog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steve Lacy - 2;;;;;Noize MC;;;Daft Punk - Homework: 18 марта;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primus - 2;;;;;King Crimson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EsDeeKid - 2;;;;;David Bowie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Davied Bowie - 2;;;;;Drake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Mac DeMarko;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;N.E.R.D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Arctic Monkeys;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Jeff Buckley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Primus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Pantera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Imagine Dragons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Linkin Park;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Taylor Swift;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;MORGENSHTERN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Kanye West;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;SQWOZ BAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Steve Lacy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gucci Mane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Tyler, The Creator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Yung Lean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Queen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Crystal Castles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Daft Punk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Ice Cube;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Electric Light Orchestra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Dominic Fike;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Queens of the Stone Age;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;XXXTENTACION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;The Smiths;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;R.E.M.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Kylie Minogue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Александр Розенбаум;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Frank Ocean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;SOAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;MF DOOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Gracie Abrams;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;С418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
